date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-07-24,42,28,14,0.1428571428571429
2020-07-23,1037,493,544,0.154158215010142
2020-07-22,4154,2818,1336,0.127750177430802
2020-07-21,7044,4995,2049,0.1209209209209209
2020-07-20,8449,6364,2085,0.1275927089880578
2020-07-19,3194,2800,394,0.1496428571428571
2020-07-18,4950,4379,571,0.1413564740808404
2020-07-17,13261,11009,2252,0.1151784903260968
2020-07-16,11568,9777,1791,0.1316354710033753
2020-07-15,13131,11365,1766,0.1389353277606687
2020-07-14,13587,11202,2385,0.154972326370291
2020-07-13,13791,11373,2418,0.1610832673876726
2020-07-12,5793,5310,483,0.184557438794727
2020-07-11,8376,7653,723,0.1788840977394486
2020-07-10,18526,16037,2489,0.1757186506204402
2020-07-09,20895,18587,2308,0.1778124495615215
2020-07-08,20735,18507,2228,0.1970605716755822
2020-07-07,21936,19144,2792,0.1992269118261596
2020-07-06,21145,18844,2301,0.2043090638930164
2020-07-05,7080,6672,408,0.2497002398081535
2020-07-04,6939,6407,532,0.2202278757608866
2020-07-03,14611,13756,855,0.2008578075021809
2020-07-02,23362,20728,2634,0.1924450019297569
2020-07-01,22910,20139,2771,0.2066140324743036
2020-06-30,23187,20419,2768,0.2116166315686371
2020-06-29,23637,20147,3490,0.2223656127463146
2020-06-28,8031,7514,517,0.2440777215863721
2020-06-27,12238,11387,851,0.2330728023184333
2020-06-26,22778,19140,3638,0.1984848484848485
2020-06-25,21825,18423,3402,0.2018672311784183
2020-06-24,21841,18414,3427,0.1949603562506789
2020-06-23,21808,18250,3558,0.1792328767123288
2020-06-22,19584,16726,2858,0.2001674040416119
2020-06-21,6847,6193,654,0.2355885677377685
2020-06-20,11015,10198,817,0.2075897234751912
2020-06-19,20412,17040,3372,0.1708333333333333
2020-06-18,19005,15987,3018,0.1738287358478764
2020-06-17,16474,13769,2705,0.1917350570121287
2020-06-16,17233,13662,3571,0.1720831503440199
2020-06-15,15901,13198,2703,0.171238066373693
2020-06-14,5258,4625,633,0.1816216216216216
2020-06-13,8481,7648,833,0.1702405857740586
2020-06-12,16115,13145,2970,0.1375427919360974
2020-06-11,14904,11538,3366,0.140145605824233
2020-06-10,14824,11571,3253,0.136461844265837
2020-06-09,15274,12027,3247,0.1305396191901555
2020-06-08,14220,11004,3216,0.1322246455834242
2020-06-07,4278,3669,609,0.15481057508858
2020-06-06,5719,4714,1005,0.1414934238438693
2020-06-05,13693,10416,3277,0.1046466973886329
2020-06-04,11873,8679,3194,0.1174098398432999
2020-06-03,11474,8330,3144,0.1258103241296519
2020-06-02,12201,8507,3694,0.1174327024803103
2020-06-01,12214,8238,3976,0.1087642631706725
2020-05-31,3244,2523,721,0.1165279429250892
2020-05-30,9509,7675,1834,0.0793485342019544
2020-05-29,12440,8797,3643,0.081391383426168
2020-05-28,10931,7299,3632,0.0842581175503494
2020-05-27,9829,6115,3714,0.1002452984464432
2020-05-26,10464,6556,3908,0.0851128737034777
2020-05-25,2687,2165,522,0.0937644341801386
2020-05-24,3191,2536,655,0.0839905362776025
2020-05-23,6810,4681,2129,0.0551164281136509
2020-05-22,9905,5927,3978,0.0624261852539227
2020-05-21,9808,5685,4123,0.0642040457343888
2020-05-20,9251,4839,4412,0.0735689191981814
2020-05-19,10230,5741,4489,0.0498171050339662
2020-05-18,10863,6229,4634,0.061165516134211
2020-05-17,3846,2637,1209,0.0360257868790292
2020-05-16,12052,10348,1704,0.0362388867413993
2020-05-15,11786,7261,4525,0.0545379424321719
2020-05-14,9442,5635,3807,0.0608695652173913
2020-05-13,9743,5879,3864,0.0452457901003572
2020-05-12,10312,6424,3888,0.0495018679950187
2020-05-11,10380,6172,4208,0.0547634478289047
2020-05-10,2099,1653,446,0.0617059891107078
2020-05-09,10115,9154,961,0.0328818003058772
2020-05-08,10817,5782,5035,0.0423728813559322
2020-05-07,10081,5744,4337,0.0492688022284123
2020-05-06,8681,4393,4288,0.0648759389938539
2020-05-05,8720,4496,4224,0.0611654804270463
2020-05-04,8571,4366,4205,0.0714612918002749
2020-05-03,1543,1158,385,0.0682210708117444
2020-05-02,5597,5116,481,0.0396794370602033
2020-05-01,7570,3875,3695,0.0611612903225806
2020-04-30,6380,3346,3034,0.0747160789001793
2020-04-29,5784,3049,2735,0.0767464742538537
2020-04-28,4943,3114,1829,0.0767501605651895
2020-04-27,3934,2796,1138,0.1033619456366238
2020-04-26,670,670,0,0.1114457831325301
2020-04-25,901,881,20,0.1112372304199773
2020-04-24,2547,2397,150,0.0909470171047142
2020-04-23,2103,2103,0,0.063041385948027
2020-04-22,1984,1979,5,0.0808489135927236
2020-04-21,1944,1939,5,0.0907684373388345
2020-04-20,2147,2138,9,0.1300280636108513
2020-04-19,695,693,2,0.1457431457431457
2020-04-18,719,715,4,0.1426573426573427
2020-04-17,1977,1962,15,0.0932721712538226
2020-04-16,1802,1798,4,0.1045606229143493
2020-04-15,1754,1747,7,0.1024613623354322
2020-04-14,1717,1713,4,0.106830122591944
2020-04-13,1824,1819,5,0.1214953271028038
2020-04-12,666,666,0,0.1246246246246246
2020-04-11,647,646,1,0.1114551083591331
2020-04-10,1556,1552,4,0.1082474226804124
2020-04-09,1698,1692,6,0.1057919621749409
2020-04-08,1547,1547,0,0.1157078215901745
2020-04-07,1718,1718,0,0.0972060535506403
2020-04-06,2158,2158,0,0.0987025023169602
2020-04-05,664,664,0,0.1144578313253012
2020-04-04,877,877,0,0.1265678449258837
2020-04-03,1837,1837,0,0.0963527490473598
2020-04-02,1967,1967,0,0.0732079308591764
2020-04-01,1921,1921,0,0.0801665799062988
2020-03-31,1892,1892,0,0.0798097251585624
2020-03-30,2020,2020,0,0.0876237623762376
2020-03-29,602,602,0,0.1212624584717608
2020-03-28,1014,1014,0,0.1035502958579882
2020-03-27,2029,2029,0,0.0601281419418433
2020-03-26,2078,2078,0,0.0712223291626564
2020-03-25,2355,2355,0,0.0645435244161359
2020-03-24,2221,2221,0,0.0612336785231878
2020-03-23,2195,2195,0,0.0656036446469248
2020-03-22,582,582,0,0.0807560137457045
2020-03-21,667,667,0,0.0674662668665667
2020-03-20,1687,1687,0,0.0574985180794309
2020-03-19,1487,1487,0,0.0437121721587088
2020-03-18,1305,1305,0,0.0421455938697318
2020-03-17,1226,1226,0,0.0587275693311582
2020-03-16,925,925,0,0.0454054054054054
2020-03-15,256,256,0,0.0625
2020-03-14,211,211,0,0.0568720379146919
2020-03-13,408,408,0,0.017156862745098
2020-03-12,289,289,0,0.0242214532871972
2020-03-11,94,94,0,0.0319148936170213
2020-03-10,45,45,0,0.0
2020-03-09,44,44,0,0.0227272727272727
2020-03-08,7,7,0,0.0
2020-03-07,3,3,0,0.0
2020-03-06,20,20,0,0.1
2020-03-05,8,8,0,0.125
2020-03-04,11,11,0,0.0909090909090909
2020-03-03,1,1,0,0.0
2020-03-02,5,5,0,0.4
2020-03-01,3,3,0,0.0
